n,h_a,h_b,method,reps,limit_coverage,limit_mcse,limit_reps,coverage,mcse,failures,conditional_coverage,T_q025,T_q50,T_q975,T_q025_mcse,T_q50_mcse,T_q975_mcse,T_sd
300,0.0,256.0,emp,50000,0.949467,0.00021904204142355878,1000000,0.94664,0.0010051140273620697,0,0.94664,-2.0059347148129096,-0.0027859859783907,1.971003142135977,0.013990105187486095,0.005547100733833419,0.011223453631425122,1.011893905769173
300,0.0,256.0,G,50000,0.949467,0.00021904204142355878,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9844244460301064,-0.0027878946112789137,1.9614981249130614,0.012371097076465568,0.005596811030297586,0.010543744526272061,1.0018904412818321
300,0.0,512.0,emp,50000,0.949466,0.00021904409337847932,1000000,0.94658,0.0010056470911805992,0,0.94658,-2.005913164334422,-0.0027859853189900587,1.9704294951723067,0.01398491505032306,0.005547090948119061,0.011236700516866248,1.011910829521603
300,0.0,512.0,G,50000,0.949466,0.00021904409337847932,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9844657117242555,-0.0027878946113949325,1.961542428481013,0.012372231309893268,0.005596811111594944,0.010544621108358914,1.001908232054624
300,0.0,1024.0,emp,50000,0.949465,0.0002190461453096128,1000000,0.94658,0.0010056470911805992,0,0.94658,-2.0060682751117542,-0.002785984988807654,1.9706795891398499,0.013980196887101698,0.005547086076961335,0.011242202529852283,1.0119147809169646
300,0.0,1024.0,G,50000,0.949465,0.0002190461453096128,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9844760417945544,-0.0027878946114239197,1.9615534964666528,0.012372511889312572,0.005596811131956392,0.010544840380749322,1.001912679779293
300,0.0,2048.0,emp,50000,0.949465,0.0002190461453096128,1000000,0.94658,0.0010056470911805992,0,0.94658,-2.0063145357969328,-0.0027859848235954224,1.9708351889849867,0.013979451559976897,0.005547083646780587,0.011243740657069446,1.0119156289787237
300,0.0,2048.0,G,50000,0.949465,0.0002190461453096128,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9844786259954674,-0.0027878946114311648,1.9615562624462775,0.012372581659583482,0.005596811137051422,0.010544895211393008,1.001913791709159
300,0.0,4096.0,emp,50000,0.949465,0.0002190461453096128,1000000,0.94658,0.0010056470911805992,0,0.94658,-2.0064366887953575,-0.002785984740958986,1.9709124391006574,0.013979867560016892,0.0055470824330363985,0.011244494638824312,1.0119157711010829
300,0.0,4096.0,G,50000,0.949465,0.0002190461453096128,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9844792722547002,-0.0027878946114329754,1.961556953812309,0.012372599055191462,0.005596811138325764,0.010544908920419269,1.0019140696911355
300,0.0,8192.0,emp,50000,0.949465,0.0002190461453096128,1000000,0.94658,0.0010056470911805992,0,0.94658,-2.0064975212268434,-0.0027859846996331795,1.9709506310519909,0.013979710030904289,0.005547081826500435,0.011244877360834325,1.0119157716853415
300,0.0,8192.0,G,50000,0.949465,0.0002190461453096128,1000000,0.94878,0.0009858652199971358,0,0.94878,-1.9844794338455451,-0.002787894611433428,1.9615571266375966,0.012372603398215,0.005596811138644424,0.01054491234783393,1.001914139186548
300,0.25,0.0,emp,50000,0.999874,1.1224264964796558e-05,1000000,0.99972,7.482267036132125e-05,0,0.99972,-1.0179181756912588,-0.0008276732337583743,1.006267972823226,0.0053409201764421516,0.002273101618105031,0.006204915184997413,0.5152564086508847
300,0.25,0.0,G,50000,0.999874,1.1224264964796558e-05,1000000,0.9999,4.471912342611134e-05,0,0.9999,-1.0062382288713456,-0.0008159817688596874,0.993098561594988,0.005406640708187957,0.0022642327804285574,0.005884455917425114,0.5102532806988518
300,0.25,0.25,emp,50000,0.999354,2.5408319188801832e-05,1000000,0.99918,0.00012800996836184617,0,0.99918,-1.0418816237562498,-0.08405376304528733,1.0242148925576056,0.0049696092312469485,0.002903892856081852,0.005846012682569158,0.542958341791548
300,0.25,0.25,G,50000,0.999354,2.5408319188801832e-05,1000000,0.99932,0.00011657938068114909,0,0.99932,-1.033052440954802,-0.0834677447109927,1.0159567871313335,0.005322679645644387,0.0028478778067434424,0.006357784360861073,0.5386490505066764
