experiment,r,n,rho,reps,denominator,coverage,mcse,failures,conditional_coverage,scaled_log_q025,scaled_log_q50,scaled_log_q975,scaled_log_q025_mcse,scaled_log_q50_mcse,scaled_log_q975_mcse,scaled_log_sd,tail_lower,tail_upper,delta_coverage,delta_mcse,corrected_normal_coverage,pit_KS,transport_minus_delta,paired_mcse
block,3,50,0.99,50000,stable,0.83612,0.0016554355656442808,0,0.83612,-11.74770780465637,-1.6896803934082238,7.711754661804038,0.061810547027780174,0.02189186411544272,0.042426745257595676,4.9724373857996955,0.08072,0.08316,0.92958,0.0011442117251627868,0.83742,0.0831358280840454,-0.09346,0.0013017443907193055
block,3,200,0.0,50000,SN,0.95004,0.0009743099958432122,0,0.95004,-8.361249830923954,-1.4681571040489645,5.333570911444901,0.046830515551835136,0.015429927534225143,0.036052210323281215,3.487650753417293,0.02404,0.02592,0.92624,0.001168926536613829,0.94996,0.0031824301606978023,0.0238,0.0010799511682898064
block,3,200,0.0,50000,stable,0.94998,0.0009748640889888186,0,0.94998,-7.6767186527991225,-0.8207747369738014,5.960891878140162,0.04893022007750437,0.01568326034867791,0.03666336512679852,3.4743076564259963,0.02416,0.02586,0.94402,0.001028068476318577,0.9504,0.0024391205472713284,0.00596,0.0007798087778645486
block,3,200,0.5,50000,SN,0.95004,0.0009743099958432122,0,0.95004,-8.361249830923951,-1.4681571040489658,5.333570911444895,0.04683051555183497,0.01542992753422508,0.03605221032328067,3.487650753417293,0.02404,0.02592,0.92624,0.001168926536613829,0.94996,0.003182430160696914,0.0238,0.0010799511682898064
block,3,200,0.5,50000,stable,0.92138,0.0012036519064912415,0,0.92138,-8.48336288336999,-0.8144863265776419,6.767679026274097,0.04390012536082795,0.019013855217482604,0.04446026548166387,3.882206081785108,0.03844,0.04018,0.94368,0.0010310000737148376,0.9211,0.02907497828702643,-0.0223,0.0007889655564934293
block,3,200,0.9,50000,SN,0.95004,0.0009743099958432122,0,0.95004,-8.361249830923962,-1.4681571040489627,5.333570911444868,0.0468305155518341,0.015429927534225053,0.03605221032328144,3.4876507534172925,0.02404,0.02592,0.92624,0.001168926536613829,0.94996,0.0031824301607026317,0.0238,0.0010799511682898064
block,3,200,0.9,50000,stable,0.85494,0.0015749133080903213,0,0.85494,-10.081408025169262,-0.7885980196127064,8.242114302960196,0.05387724745760074,0.01890318037121964,0.05162999204537185,4.675839650322578,0.07146,0.0736,0.9447,0.0010221732729826193,0.85516,0.0727576522582496,-0.08976,0.0012783174605357614
block,3,200,0.99,50000,SN,0.95004,0.0009743099958432122,0,0.95004,-8.361249830923944,-1.4681571040490065,5.33357091144517,0.046830515551823146,0.01542992753422084,0.03605221032329232,3.487650753417291,0.02404,0.02592,0.92624,0.001168926536613829,0.94996,0.0031824301606283023,0.0238,0.0010799511682898064
block,3,200,0.99,50000,stable,0.8381,0.0016473517535729885,0,0.8381,-10.607524321146032,-0.7927482591147349,8.615492182353885,0.05194036524827679,0.02297345287617765,0.05628172190409157,4.89092631182744,0.08002,0.08188,0.94526,0.0010172859224426532,0.8381,0.0828741866037982,-0.10716,0.001383319543510894
block,3,1000,0.0,50000,SN,0.94898,0.000984042271449758,0,0.94898,-7.5348545786328724,-0.651018479586529,6.116584298425296,0.056527133866064415,0.024342037045148417,0.04515929658658729,3.469021478709312,0.02578,0.02524,0.9445,0.0010239116172795384,0.94904,0.001947357148686435,0.00448,0.0006896434616249785
block,3,1000,0.0,50000,stable,0.94912,0.0009827637111737494,0,0.94912,-7.24120552617797,-0.36823550846113656,6.395446960619363,0.05911474047574998,0.022630451550528684,0.044251823797904544,3.465338688917456,0.02554,0.02534,0.94812,0.0009918514566203958,0.9492,0.00200281072697156,0.001,0.0005373879192124756
block,3,1000,0.5,50000,SN,0.94898,0.000984042271449758,0,0.94898,-7.534854578632893,-0.6510184795865548,6.1165842984252885,0.05652713386606458,0.024342037045149083,0.045159296586587516,3.469021478709312,0.02578,0.02524,0.9445,0.0010239116172795384,0.94904,0.0019473571486874341,0.00448,0.0006896434616249785
block,3,1000,0.5,50000,stable,0.9214,0.0012035118611796063,0,0.9214,-8.024697831913995,-0.3874369198124138,7.099503728495083,0.07003750460191142,0.022377676820787146,0.048928029522914064,3.8647124507678976,0.0397,0.0389,0.94966,0.0009778127059923087,0.92134,0.027571034375594577,-0.02826,0.0007411062223248808
block,3,1000,0.9,50000,SN,0.94898,0.000984042271449758,0,0.94898,-7.534854578633012,-0.6510184795865459,6.11658429842548,0.05652713386607171,0.024342037045151133,0.04515929658658996,3.469021478709312,0.02578,0.02524,0.9445,0.0010239116172795384,0.94904,0.0019473571486857688,0.00448,0.0006896434616249785
block,3,1000,0.9,50000,stable,0.85464,0.001576264383915338,0,0.85464,-9.576518720223424,-0.4015671465985907,8.65281209353274,0.06682763954494553,0.02654742317664156,0.06776368362165484,4.66134103304848,0.0735,0.07186,0.9494,0.0009802003876759077,0.85486,0.0728931207564881,-0.09476,0.0013098263857867646
block,3,1000,0.99,50000,SN,0.94898,0.000984042271449758,0,0.94898,-7.534854578634501,-0.6510184795868268,6.116584298422546,0.05652713386612419,0.024342037045139896,0.04515929658665481,3.469021478709308,0.02578,0.02524,0.9445,0.0010239116172795384,0.94904,0.0019473571485900676,0.00448,0.0006896434616249785
block,3,1000,0.99,50000,stable,0.83602,0.001655841535896476,0,0.83602,-9.999421183874707,-0.3821848999636068,9.063978224121549,0.06703148200683005,0.03047327832443974,0.07356640810283543,4.881811723850828,0.08358,0.0804,0.94922,0.000981849190049063,0.83584,0.08307472649875744,-0.1132,0.0014169528415254695
